county,pop
19189,10580
19191,20789
19193,102426
19195,7562
19197,12891
20001,12951
20003,7858
20005,16557
20007,4831
20009,27214
20011,14751
20013,9810
20015,66264
20017,2694
20019,3470
20021,20737
20023,2679
20025,2131
20027,8346
20029,9302
20031,8433
20033,1898
20035,35977
20037,39281
20039,2886
20041,19384
20043,7793
20045,116352
20047,2975
20049,2635
20051,29032
20053,6375
20055,36983
20057,34492
20059,25663
20061,36818
20063,2682
20065,2577
20067,7748
20069,6037
20071,1235
20073,6304
20075,2567
20077,5798
20079,34814
20081,4087
20083,1919
20085,13365
20087,18880
20089,3003
20091,572428
20093,3943
20095,7697
20097,2520
20099,20833
20101,1687
20103,78785
20105,3134
20107,9524
20109,2800
20111,33401
20113,29164
20115,12213
20117,9963
20119,4310
20121,32787
20123,6299
20125,33765
20127,5694
20129,3033
20131,10177
20133,16358
20135,3047
20137,5558
20139,16001
20141,3746
20143,6004
20145,6840
20147,5484
20149,22920
20151,9729
20153,2557
20155,63803
20157,4768
20159,9949
20161,75026
20163,5160
20165,3144
20167,6988
20169,55547
20171,4958
20173,508221
20175,23185
20177,178567
20179,2522
20181,6038
20183,3701
20185,4284
20187,2115
20189,5738
20191,23509
20193,7909
20195,2927
20197,6960
20199,1584
20201,5613
20203,2168
20205,8956
20207,3186
20209,161777
21001,19156
21003,20421
21005,21867
21007,8216
21009,43287
21011,12113
21013,27676
21015,125656
21017,20004
21019,48716
21021,29650
21023,8404
21025,13476
21027,20000
21029,77727
21031,12828
21033,12758
21035,38302
21037,91456
21039,4954
21041,10776
21043,27292
21045,15928
21047,73936
21049,35706
21051,21160
21053,10172
21055,9211
21057,6780
21059,98724
21061,12086
21063,7661
21065,14406
21067,311529
21069,14543
21071,38144
21073,49982
21075,6323
21077,8543
21079,17051
21081,24705
21083,37379
21085,26092
21087,11123
21089,36255
21091,8716
21093,107573
21095,28031
21097,18629
21099,18510
21101,46362
21103,15528
21105,4691
21107,46359
21109,13357
21111,759724
21113,51015
21115,23280
21117,163393
21119,15884
21121,31740
21123,14127
21125,59950
21127,15870
21129,6896
21131,10869
21133,23382
21135,13646
21137,24424
21139,9353
21141,26757
21143,8325
21145,65292
21147,17850
21149,9492
21151,87324
21153,12887
21155,19497
21157,31213
21159,12478
21161,17229
21163,28751
21165,6345
21167,21411
21169,9983
21171,10692
21173,27391
21175,13379
21177,31216
21179,44875
21181,7062
21183,24152
21185,63876
21187,10673
21189,4552
21191,14509
21193,27818
21195,62791
21197,12387
21199,63772
21201,2191
21203,16893
21205,24302
21207,17684
21209,51348
21211,44967
21213,17856
21215,17798
21217,25315
21219,12465
21221,14267
21223,8751
21225,15065
21227,121066
21229,12017
21231,20557
21233,13331
21235,35842
21237,7221
21239,25591
22001,62372
22003,25619
22005,117009
22007,22973
22009,41252
22011,36435
22013,13924
22015,124720
22017,253125
22019,197233
